tag,command,parameters,notes
None,command,playlist clear,stop playing and clear playlist
button1,command,playlist index +1,what to do when button pressed
stop,command,playlist clear,stop playing and clear playlist
skip,command,playlist index +1,skip to next item on playlist
replay,command,playlist index -1,skip to previous item on playlist
A6-21-B3-7C,url,"http://opml.radiotime.com/Tune.ashx?id=s24232&formats=aac,ogg,mp3&partnerId=15&serial=59bf631fddda17f8c19e2bc4914096f1",WHOOPIE 100.9 Radio
04-ed-1e-ed-78-00-00,year,1970,Random items from 1970
56:78:ac:bc,album,"Compilations/Like, Omigod! The '80s Pop Culture Box (Totally) (2002)",
25-6d-6d-df,album,Daft Punk/Random Access Memories (2013),
04-ba-ec-56-bf-2a-81,album,Compilations/Billboard Top 100 of 2001 (2001),
fc-b2-50-23,album,Compilations/Billboard Top 100 of 1984 (1984),
04-07-bc-f2-b4-76-81,album,Yazoo/Upstairs at Eric's (1982),
8d-5e-33-b9,album,Compilations/Billboard Top 100 of 1999 (1999),
04-9d-64-6c-bb-2a-81,album,Compilations/Billboard Top 100 of 1967 (1967),
04-fd-77-ed-78-00-00,album,Elton John/Goodbye Yellow Brick Road (1973),
0a-ef-db-d3,album,DEVO/Total Devo (1988),
2a-b5-e8-d4,album,DEVO/Now It Can Be Told_ Devo at the Palace 12_9_88 (1989),
b5-b3-6d-df,album,Marilyn Manson/Mechanical Animals (1998),
a5-ec-20-df,album,Kid Rock/Devil Without a Cause (1998),
05-51-84-df,album,Michael Jackson/Thriller (1982),
