tag,command,parameters,notes
--command--,,,"Internal Commands"
removed,command,"playlist clear","stop playing and clear playlist"
button1,command,"playlist index +1",what to do when button pressed
stop,command,"playlist clear",stop playing and clear playlist
skip,command,"playlist index +1",skip to next item on playlist
replay,command,"playlist index -1",skip to previous item on playlist
--decade--,,,"Decade Playlists (shuffle)"
19-40-00-00,decade,"1940","Music from 1940's"
19-50-00-00,decade,"1950","Music from 1950's"
04-93-99-68-21-02-89,decade,"1960","Music from 1960's"
04-6D-EE-50-BB-2A-81,decade,"1970","Music from 1970's"
04-93-01-62-21-02-89,decade,"1980","Music from 1980's"
04-03-75-42-21-02-89,decade,"1990","Music from 1990's"
04-E3-2E-35-21-02-89,decade,"2000","Music from 2000's"
04-83-96-42-21-02-89,decade,"2010","Music from 2010's"
20-20-00-00,decade,"2020","Music from 2020's"
--year--,,,"Year Playlists (shuffle)"
00-00-19-40,year,"1940","Music from 1940"
00-00-19-41,year,"1941","Music from 1941"
00-00-19-42,year,"1942","Music from 1942"
00-00-19-43,year,"1943","Music from 1943"
00-00-19-44,year,"1944","Music from 1944"
00-00-19-45,year,"1945","Music from 1945"
00-00-19-46,year,"1946","Music from 1946"
00-00-19-47,year,"1947","Music from 1947"
00-00-19-48,year,"1948","Music from 1948"
00-00-19-49,year,"1949","Music from 1949"
00-00-19-50,year,"1950","Music from 1950"
00-00-19-51,year,"1951","Music from 1951"
00-00-19-52,year,"1952","Music from 1952"
00-00-19-53,year,"1953","Music from 1953"
00-00-19-54,year,"1954","Music from 1954"
00-00-19-55,year,"1955","Music from 1955"
00-00-19-56,year,"1956","Music from 1956"
00-00-19-57,year,"1957","Music from 1957"
00-00-19-58,year,"1958","Music from 1958"
00-00-19-59,year,"1959","Music from 1959"
00-00-19-60,year,"1960","Music from 1960"
00-00-19-61,year,"1961","Music from 1961"
00-00-19-62,year,"1962","Music from 1962"
00-00-19-63,year,"1963","Music from 1963"
00-00-19-64,year,"1964","Music from 1964"
00-00-19-65,year,"1965","Music from 1965"
00-00-19-66,year,"1966","Music from 1966"
00-00-19-67,year,"1967","Music from 1967"
00-00-19-68,year,"1968","Music from 1968"
00-00-19-69,year,"1969","Music from 1969"
04-ed-1e-ed-78-00-00,year,"1970","Music from 1970"
00-00-19-71,year,"1971","Music from 1971"
00-00-19-72,year,"1972","Music from 1972"
00-00-19-73,year,"1973","Music from 1973"
00-00-19-74,year,"1974","Music from 1974"
00-00-19-75,year,"1975","Music from 1975"
00-00-19-76,year,"1976","Music from 1976"
